Kona Grosbeak,6,0
Lesser Koa-Finch,6,0
Greater Koa-Finch,6,0
Ula-ai-hawane,6,0
Akohekohe,3,0
Laysan Honeycreeper,6,0
Apapane,2,0
Iiwi,2,0
Hawaii Mamo,6,0
Black Mamo,6,0
Ou,6,0
Lanai Hookbill,6,0
Maui Parrotbill,3,0
Kauai Nukupuu,6,0
Oahu Nukupuu,6,0
Maui Nukupuu,6,0
Akiapolaau,3,0
Lesser Akialoa,6,0
Kauai Akialoa,6,0
Oahu Akialoa,6,0
Maui-nui Akialoa,6,0
Anianiau,2,0
Hawaii Amakihi,2,0
Oahu Amakihi,2,0
Kauai Amakihi,2,0
Greater Amakihi,6,0
Hawaii Creeper,3,0
Akekee,3,0
Oahu Akepa,6,0
Maui Akepa,6,0
Hawaii Akepa,3,0
Pine Grosbeak,1,0
Eurasian Bullfinch,4,0
Asian Rosy-Finch,5,0
Gray-crowned Rosy-Finch,1,0
Black Rosy-Finch,2,0
Brown-capped Rosy-Finch,2,0
House Finch,1,1
Purple Finch,1,0
Cassin's Finch,1,0
Oriental Greenfinch,4,0
Yellow-fronted Canary,2,0
Common Redpoll,1,0
Hoary Redpoll,2,0
Red Crossbill,1,0
Cassia Crossbill,2,0
White-winged Crossbill,2,0
Eurasian Siskin,5,0
Pine Siskin,1,0
Lesser Goldfinch,1,0
Lawrence's Goldfinch,2,0
American Goldfinch,1,0
Island Canary,3,0
Lapland Longspur,1,0
Chestnut-collared Longspur,1,0
Smith's Longspur,2,0
McCown's Longspur,2,0
Snow Bunting,1,0
McKay's Bunting,3,0
Pine Bunting,5,0
Yellow-browed Bunting,5,0
Little Bunting,4,0
Rustic Bunting,3,0
Yellow-throated Bunting,5,0
Yellow-breasted Bunting,5,0
Gray Bunting,5,0
Pallas's Bunting,5,0
Reed Bunting,4,0
Olive Sparrow,2,0
Green-tailed Towhee,1,0
Spotted Towhee,1,0
Eastern Towhee,1,0
Rufous-crowned Sparrow,1,0
Canyon Towhee,1,0
California Towhee,1,0
Abert's Towhee,1,0
Rufous-winged Sparrow,2,0
Botteri's Sparrow,2,0
